Entry	Gene ontology IDs
P15884	GO:0051254;GO:0031323;GO:0010468;GO:0065007;GO:0006355;GO:0006357;GO:0060255;GO:0048522;GO:1902680;GO:0045935;GO:0009889;GO:0065004;GO:1903506;GO:0048869;GO:0071840;GO:0009891;GO:0050793;GO:0050789;GO:0045944;GO:0048856;GO:0009987;GO:0050794;GO:0030154;GO:0031328;GO:0022607;GO:0071824;GO:0019219;GO:0016043;GO:0010556;GO:0010604;GO:0032502;GO:0065003;GO:0080090;GO:0045666;GO:0031326;GO:0051171;GO:0048731;GO:0045597;GO:0043933;GO:0009893;GO:0008150;GO:0045664;GO:0045893;GO:1903508;GO:0034622;GO:0045595;GO:0048518;GO:0051173;GO:2000112;GO:0019222;GO:2001141;GO:0007399;GO:0051094;GO:0051252;GO:0010557;GO:0031325;
Q9UKF6	GO:0046483;GO:0051169;GO:0044237;GO:0051234;GO:0016071;GO:0032774;GO:0090501;GO:0006396;GO:0000375;GO:0050657;GO:0009059;GO:0006353;GO:0016070;GO:0044249;GO:0006807;GO:0015931;GO:0006406;GO:0071705;GO:0009987;GO:0006139;GO:0051028;GO:0051649;GO:0019438;GO:0043170;GO:1901362;GO:0009058;GO:0051168;GO:0034654;GO:0006397;GO:0031124;GO:0031123;GO:0034641;GO:0044238;GO:0008150;GO:0050658;GO:0090305;GO:0051179;GO:0008380;GO:0006913;GO:0008152;GO:0046907;GO:0051236;GO:0006725;GO:0006405;GO:0000377;GO:0000398;GO:0006810;GO:0071702;GO:0018130;GO:0051641;GO:0071704;GO:0090304;GO:1901360;GO:1901576;GO:0044271;
P29590	GO:0035239;GO:0051248;GO:1903050;GO:0055065;GO:0050801;GO:0044265;GO:2000116;GO:0043632;GO:0033554;GO:0000075;GO:0052548;GO:0032922;GO:0006793;GO:0034613;GO:0045935;GO:1903900;GO:0031058;GO:1903506;GO:1903829;GO:0048869;GO:2001251;GO:0006807;GO:0071840;GO:0001763;GO:0051052;GO:0042592;GO:0044419;GO:0051246;GO:0017148;GO:0030162;GO:1903363;GO:0006873;GO:0048870;GO:0044773;GO:1902807;GO:0060341;GO:0031328;GO:2000134;GO:0010522;GO:0019219;GO:0051345;GO:0002831;GO:0055080;GO:1990823;GO:0050896;GO:0045165;GO:0042127;GO:0010212;GO:0007178;GO:0043933;GO:0051049;GO:0019220;GO:0044238;GO:0009314;GO:0010942;GO:0065009;GO:0002376;GO:0002521;GO:0008150;GO:0051054;GO:0019941;GO:0006468;GO:1901565;GO:0006977;GO:0008152;GO:0034504;GO:0007623;GO:1901988;GO:0007166;GO:0031571;GO:0055074;GO:0019222;GO:0032879;GO:0010629;GO:0048511;GO:0032507;GO:0006874;GO:0060333;GO:0042176;GO:0006810;GO:0006446;GO:0006796;GO:0070482;GO:0051641;GO:0072331;GO:0051716;GO:0051235;GO:0045786;GO:0009653;GO:1902679;GO:0043085;GO:0031056;GO:0016310;GO:0032270;GO:0006955;GO:1902275;GO:0071345;GO:0098542;GO:0034249;GO:0051603;GO:1901342;GO:0045926;GO:0010558;GO:0042325;GO:0044819;GO:0036211;GO:0048525;GO:0030330;GO:0008285;GO:0052547;GO:1901343;GO:0051338;GO:0010639;GO:0044774;GO:0060255;GO:0048522;GO:0008284;GO:2001020;GO:0045087;GO:0006915;GO:0009057;GO:0009891;GO:0022402;GO:0050793;GO:0050789;GO:0006875;GO:0009966;GO:0010608;GO:0001818;GO:0030154;GO:0010950;GO:0048584;GO:0008104;GO:0045184;GO:0055082;GO:0045185;GO:0032652;GO:0043412;GO:0050792;GO:0072507;GO:0030155;GO:0071310;GO:0016043;GO:0000077;GO:0007167;GO:0006605;GO:1902531;GO:0080090;GO:0032101;GO:1990830;GO:0051239;GO:1903827;GO:0009615;GO:0098771;GO:0045893;GO:0044260;GO:0043280;GO:0051053;GO:0043086;GO:0051179;GO:0097190;GO:0042221;GO:0007346;GO:0048518;GO:1901991;GO:0007179;GO:0051726;GO:0051707;GO:0006952;GO:0044092;GO:0051607;GO:2001141;GO:1903047;GO:0045930;GO:0071702;GO:0051252;GO:0050776;GO:0071704;GO:0097193;GO:0097191;GO:1901796;GO:0010959;GO:0045934;GO:0051348;GO:0051129;GO:0016477;GO:0023051;GO:0001558;GO:2000278;GO:2000058;GO:0010647;GO:0072503;GO:0031570;GO:0031647;GO:0009967;GO:0072594;GO:0044237;GO:0010498;GO:0051254;GO:0031323;GO:0031324;GO:0051174;GO:0009411;GO:0006464;GO:1904356;GO:0009607;GO:0006355;GO:0006928;GO:0010638;GO:0045765;GO:0050688;GO:1903051;GO:0080134;GO:0009889;GO:0051128;GO:0044267;GO:0001817;GO:0032210;GO:2000779;GO:0019221;GO:0009416;GO:0032204;GO:0051093;GO:0030003;GO:0065008;GO:0031401;GO:2000045;GO:0030522;GO:0043903;GO:0006950;GO:0033043;GO:0051651;GO:0006919;GO:0051130;GO:0043065;GO:0015031;GO:0009628;GO:0050794;GO:0040008;GO:0002009;GO:0048583;GO:0010646;GO:0032501;GO:0048878;GO:0006508;GO:0070727;GO:0033036;GO:0006606;GO:1905269;GO:0010952;GO:0043269;GO:0043170;GO:2001252;GO:0010604;GO:0032502;GO:0031399;GO:0010605;GO:0051171;GO:0048523;GO:0061138;GO:0006282;GO:0006996;GO:0032269;GO:0051253;GO:0009893;GO:0007050;GO:0006997;GO:1903508;GO:0036293;GO:0006913;GO:0010941;GO:0046907;GO:1903507;GO:2000112;GO:2000113;GO:1901990;GO:0008219;GO:0023056;GO:0009605;GO:2000181;GO:1902806;GO:0016032;GO:0031325;GO:0019538;GO:1901987;GO:0016525;GO:0017038;GO:0051169;GO:0031347;GO:0019058;GO:0035556;GO:0050821;GO:0010468;GO:0065007;GO:0070887;GO:0051234;GO:0032651;GO:0030308;GO:0001932;GO:2001235;GO:0043281;GO:0009056;GO:1902680;GO:0031327;GO:0007093;GO:0043207;GO:0042981;GO:0040011;GO:0048754;GO:0051336;GO:2001233;GO:0010033;GO:0007569;GO:0051924;GO:0030163;GO:0009894;GO:0031330;GO:0080135;GO:0048729;GO:0031329;GO:0071705;GO:0009987;GO:0007165;GO:0010564;GO:0010948;GO:2000026;GO:0045862;GO:0051649;GO:0022607;GO:0010556;GO:2001056;GO:0044093;GO:0033365;GO:1901575;GO:0140546;GO:0043161;GO:0065003;GO:0032880;GO:0050790;GO:0007568;GO:0031326;GO:0042770;GO:0034248;GO:0033044;GO:0051247;GO:0002682;GO:0045861;GO:0042177;GO:1903362;GO:0051172;GO:0043067;GO:0019725;GO:0051170;GO:0048145;GO:0009892;GO:0043068;GO:0009890;GO:0051173;GO:0034976;GO:0051241;GO:0034097;GO:1901564;GO:0006974;GO:0012501;GO:0009895;GO:0006886;GO:0042752;GO:0032268;GO:0006511;GO:0044248;GO:2001236;GO:0051094;GO:0030099;GO:0008630;GO:0010557;GO:0002573;GO:0001667;GO:0045892;GO:0001666;GO:0022603;GO:0048519;GO:0006417;
Q9NQ25	GO:0006955;GO:0098542;GO:0002449;GO:0022610;GO:0050896;GO:0002443;GO:0065007;GO:0002682;GO:0009607;GO:0045321;GO:0002376;GO:0008150;GO:0043207;GO:0045087;GO:0001775;GO:0030101;GO:0051707;GO:0006952;GO:0007155;GO:0002250;GO:0050789;GO:0006950;GO:0044419;GO:0009605;GO:0009987;GO:0048583;GO:0046649;GO:0050776;GO:0001906;GO:0002252;
P49407	GO:0051248;GO:0030168;GO:0006473;GO:0035023;GO:0044265;GO:0043524;GO:2000116;GO:0043632;GO:0043410;GO:0052548;GO:0010563;GO:2000756;GO:0045935;GO:0018394;GO:0031058;GO:1903506;GO:0018205;GO:0016573;GO:0006807;GO:0030029;GO:0071840;GO:0006475;GO:0045944;GO:0051246;GO:0030162;GO:0060627;GO:0048193;GO:0051017;GO:0031328;GO:0031397;GO:0019219;GO:0051345;GO:0097435;GO:1901214;GO:0050896;GO:0009968;GO:0042127;GO:0010648;GO:0051049;GO:0019220;GO:0031400;GO:0044238;GO:0051056;GO:0010942;GO:0065009;GO:0008150;GO:0019941;GO:1901565;GO:0008152;GO:0019222;GO:0032879;GO:0016192;GO:0010629;GO:0048511;GO:0006810;GO:0010660;GO:0018193;GO:0043085;GO:0061572;GO:0031056;GO:0032270;GO:1901983;GO:0030100;GO:0042327;GO:1902275;GO:0070372;GO:0051603;GO:0042325;GO:0036211;GO:0051057;GO:0052547;GO:0031623;GO:0060255;GO:0048522;GO:0008284;GO:0051050;GO:0051090;GO:0009057;GO:0009891;GO:0050789;GO:0043069;GO:0009966;GO:1901215;GO:0001818;GO:0010950;GO:0048584;GO:0016570;GO:0008104;GO:0045184;GO:0043112;GO:0043412;GO:0006897;GO:0016043;GO:0006898;GO:0043408;GO:0006892;GO:1902531;GO:0043409;GO:0080090;GO:0048260;GO:0023057;GO:0051239;GO:0045893;GO:0044260;GO:0043280;GO:0043086;GO:0051179;GO:0043433;GO:0042221;GO:0048518;GO:0043087;GO:0044092;GO:0010562;GO:2001141;GO:0071702;GO:0051252;GO:0071704;GO:0023051;GO:0042493;GO:0010647;GO:0009967;GO:0044237;GO:0010498;GO:0051254;GO:0031323;GO:0051174;GO:0031324;GO:0006464;GO:0006355;GO:0070374;GO:0010638;GO:0001817;GO:0009889;GO:0051128;GO:0044267;GO:0007010;GO:0031401;GO:0022412;GO:0033043;GO:0051130;GO:0043065;GO:0015031;GO:0050794;GO:0048583;GO:0010646;GO:0006508;GO:0033036;GO:0002090;GO:1905269;GO:0010952;GO:0043170;GO:0010604;GO:2001252;GO:0070373;GO:0031399;GO:0010605;GO:0032677;GO:0051171;GO:0048523;GO:0006996;GO:0032269;GO:0043523;GO:1902532;GO:0009893;GO:0016569;GO:1903320;GO:0043066;GO:0032675;GO:0007186;GO:0022414;GO:1903508;GO:0042326;GO:0001934;GO:0010941;GO:0031032;GO:2000112;GO:0031396;GO:0023056;GO:0030036;GO:0032446;GO:0031325;GO:1902533;GO:0019538;GO:0043543;GO:0008593;GO:1903322;GO:0007015;GO:0001933;GO:0010468;GO:0065007;GO:0051234;GO:0001932;GO:0006357;GO:0043281;GO:0009056;GO:1902680;GO:0042981;GO:0048585;GO:0051336;GO:0061024;GO:0030163;GO:0070647;GO:0045807;GO:0071705;GO:0009987;GO:0007165;GO:0016567;GO:0018393;GO:1903321;GO:0045862;GO:0051346;GO:0035065;GO:0022607;GO:0045937;GO:0045936;GO:0010556;GO:2001056;GO:0044093;GO:1901575;GO:0043161;GO:0050790;GO:0031326;GO:0033044;GO:0031398;GO:0051247;GO:0046578;GO:0051172;GO:0043067;GO:0009892;GO:0043068;GO:0051173;GO:0051241;GO:1901564;GO:0046579;GO:0032268;GO:0000187;GO:0006511;GO:0044248;GO:0006325;GO:0060548;GO:0048259;GO:0010557;GO:0032088;GO:0048519;GO:0001775;
P35523	GO:0055085;GO:0006811;GO:0006821;GO:0051049;GO:0065007;GO:0051234;GO:0008150;GO:0050877;GO:0006820;GO:0003008;GO:0098660;GO:0001508;GO:0051179;GO:0006936;GO:0034220;GO:0032879;GO:0034765;GO:1902476;GO:0065008;GO:0003012;GO:0050789;GO:0042391;GO:0006810;GO:0009987;GO:0098656;GO:0050794;GO:0015698;GO:0098661;GO:0032501;GO:0034762;GO:0043269;
Q99497	GO:0051248;GO:1903050;GO:1903828;GO:0043393;GO:0043524;GO:0015850;GO:2000116;GO:0052548;GO:0010563;GO:0006793;GO:0051100;GO:0006807;GO:0007265;GO:0009306;GO:0098657;GO:1901135;GO:0010628;GO:0045944;GO:0042592;GO:0006139;GO:0060341;GO:0031328;GO:0016236;GO:1901214;GO:0051049;GO:0019220;GO:0007264;GO:0044238;GO:0046165;GO:0010942;GO:0065009;GO:0008150;GO:0032103;GO:1902903;GO:0008152;GO:0051224;GO:0019222;GO:0010629;GO:0032507;GO:0042391;GO:0006796;GO:0031056;GO:0032270;GO:1901983;GO:0002684;GO:0044283;GO:0015833;GO:0033238;GO:1904062;GO:1901700;GO:0051338;GO:0050729;GO:0032768;GO:0051050;GO:0051240;GO:0008344;GO:0051090;GO:0009891;GO:0043069;GO:0009966;GO:1901215;GO:0044089;GO:0016570;GO:0006518;GO:1902531;GO:0070201;GO:0051239;GO:0061919;GO:0006790;GO:0032940;GO:0042542;GO:0044260;GO:2000377;GO:0006082;GO:0072593;GO:0043086;GO:1903201;GO:0042221;GO:0051896;GO:0043603;GO:2001244;GO:0051347;GO:0044092;GO:0010562;GO:0051348;GO:0050727;GO:0051129;GO:0023051;GO:0010647;GO:0009967;GO:0044237;GO:0032147;GO:0031323;GO:0031324;GO:0042886;GO:0006464;GO:0032091;GO:2001242;GO:0010638;GO:0080134;GO:0001817;GO:0009889;GO:0051128;GO:0033135;GO:0051881;GO:0065008;GO:0043467;GO:0009100;GO:0006950;GO:1901617;GO:0050794;GO:0032501;GO:0048878;GO:0032434;GO:0033036;GO:0009117;GO:0043170;GO:0006469;GO:0010604;GO:0031399;GO:0032409;GO:0042593;GO:0048523;GO:0006996;GO:0032269;GO:0043523;GO:0051897;GO:0016569;GO:0007626;GO:0006066;GO:0010941;GO:0061136;GO:0043388;GO:0030072;GO:0010951;GO:0023056;GO:0006725;GO:0090304;GO:0051099;GO:1902533;GO:0051098;GO:0019538;GO:0002861;GO:0001505;GO:0043254;GO:0140352;GO:0071692;GO:0001933;GO:0043436;GO:0006811;GO:0010468;GO:0065007;GO:0006979;GO:0009056;GO:0042981;GO:0048585;GO:0010033;GO:0044249;GO:0031333;GO:0009894;GO:0080135;GO:0031329;GO:0071705;GO:0009987;GO:0032787;GO:0051346;GO:0045937;GO:0051353;GO:0045936;GO:0051051;GO:1901575;GO:0050790;GO:0006575;GO:0044281;GO:0002682;GO:0055086;GO:0034614;GO:0033138;GO:0000302;GO:1902041;GO:0009892;GO:0002790;GO:0043068;GO:1901564;GO:0030534;GO:0009895;GO:0010506;GO:0006259;GO:0044248;GO:0060548;GO:0033143;GO:0048519;GO:0032411;GO:0033554;GO:0023061;GO:2000756;GO:0045935;GO:0035592;GO:0018205;GO:1903506;GO:1903829;GO:0071840;GO:0051438;GO:0051246;GO:0030162;GO:1903363;GO:0032757;GO:0019637;GO:0051091;GO:0031397;GO:0009896;GO:0006914;GO:0019219;GO:0032387;GO:0010035;GO:0016053;GO:0050896;GO:0009968;GO:0034641;GO:2000379;GO:0010648;GO:0031400;GO:0007610;GO:0032879;GO:0044087;GO:0006810;GO:0042176;GO:0050778;GO:0018193;GO:0033673;GO:0051716;GO:0051235;GO:0006521;GO:0043085;GO:0042327;GO:1902275;GO:0051101;GO:0042325;GO:0036211;GO:0052547;GO:1905897;GO:0051341;GO:0034599;GO:0060255;GO:0048522;GO:0033674;GO:0062197;GO:0010466;GO:0006954;GO:0050789;GO:0031334;GO:0048584;GO:0008104;GO:0045184;GO:0045185;GO:0042180;GO:0043412;GO:0001819;GO:0071310;GO:0016043;GO:0009058;GO:0043549;GO:0080090;GO:0032101;GO:0046394;GO:0023057;GO:1903827;GO:0045893;GO:1900182;GO:0051179;GO:1904950;GO:0006081;GO:0048518;GO:0006952;GO:0062013;GO:0046879;GO:2001141;GO:2001237;GO:0010821;GO:0010565;GO:0007005;GO:0071702;GO:0051252;GO:0006749;GO:0050776;GO:0071704;GO:1901360;GO:0034762;GO:0031331;GO:2000058;GO:0031647;GO:0051254;GO:0051174;GO:0006355;GO:1903051;GO:0006281;GO:0044267;GO:2001243;GO:0007338;GO:0031401;GO:0072330;GO:0033043;GO:0051651;GO:0051130;GO:0043065;GO:0015031;GO:0034308;GO:1901615;GO:0048583;GO:0010646;GO:0043269;GO:1902882;GO:0031349;GO:0046903;GO:0032677;GO:0010605;GO:0006812;GO:0051171;GO:1902532;GO:0009893;GO:1903320;GO:0043066;GO:0022414;GO:0033500;GO:1903508;GO:0010508;GO:0042326;GO:0001934;GO:0061912;GO:2000112;GO:0046822;GO:0031396;GO:2001234;GO:0033157;GO:2000117;GO:0031325;GO:1901576;GO:1900180;GO:0046483;GO:0031347;GO:0051223;GO:0045859;GO:0062012;GO:0035556;GO:0050821;GO:0098754;GO:0051234;GO:0070887;GO:0001932;GO:0006357;GO:2001235;GO:0043281;GO:1902680;GO:0051336;GO:2001233;GO:0031330;GO:0034765;GO:0032386;GO:0045860;GO:0007165;GO:1903321;GO:0043154;GO:0051649;GO:0035065;GO:0009566;GO:0010817;GO:0044093;GO:0010556;GO:0010822;GO:0032880;GO:0006836;GO:0031326;GO:1900407;GO:1901701;GO:0010469;GO:0009914;GO:0022898;GO:0051247;GO:0070301;GO:0045861;GO:0042177;GO:0051172;GO:0043067;GO:0009890;GO:0051173;GO:0006974;GO:0044282;GO:0032268;GO:0006325;GO:2001236;GO:0006753;GO:0010557;GO:0019752;GO:1903362;
Q9Y6R1	GO:0055085;GO:0140352;GO:0050801;GO:0042325;GO:0031323;GO:0051174;GO:0062012;GO:0006811;GO:0065007;GO:0006109;GO:0051234;GO:0030001;GO:0006140;GO:0048522;GO:0045935;GO:0006820;GO:1900542;GO:0034220;GO:0009894;GO:0003018;GO:0030003;GO:0065008;GO:0006885;GO:0030004;GO:0006110;GO:0043467;GO:0031329;GO:0050789;GO:0042592;GO:0042327;GO:0098662;GO:0043470;GO:0009987;GO:0006873;GO:0050794;GO:0032501;GO:0048878;GO:0055082;GO:0009896;GO:0045937;GO:0019219;GO:0035725;GO:0006814;GO:0010232;GO:0055080;GO:0080090;GO:0006812;GO:0051171;GO:1903578;GO:0003013;GO:0019220;GO:0009893;GO:0019725;GO:0098771;GO:0008150;GO:0030641;GO:0098655;GO:0003008;GO:0098660;GO:0055067;GO:0015711;GO:0051179;GO:0048518;GO:0051453;GO:0051173;GO:0045913;GO:0019222;GO:0062013;GO:0010562;GO:0042391;GO:0006810;GO:0071702;GO:0140115;GO:0031325;GO:0150104;GO:0031331;
Q5SQN1	GO:0016050;GO:0140352;GO:0065003;GO:0046903;GO:0006996;GO:0043933;GO:0051234;GO:0140029;GO:0032940;GO:0090174;GO:0008150;GO:0048284;GO:0006887;GO:0051179;GO:0034622;GO:0061024;GO:0071840;GO:0016192;GO:0061025;GO:0006810;GO:0009987;GO:0006906;GO:0022607;GO:0016043;
Q9Y275	GO:0002684;GO:0042113;GO:0006955;GO:0050867;GO:0065007;GO:0050870;GO:0070665;GO:0045321;GO:0042102;GO:0048522;GO:0008284;GO:0002824;GO:0019221;GO:0030183;GO:0048869;GO:0051251;GO:0032944;GO:0050865;GO:0065008;GO:0002819;GO:1903131;GO:0050793;GO:0050789;GO:0042592;GO:0070663;GO:0002694;GO:0033209;GO:1903037;GO:0009987;GO:0007165;GO:0050794;GO:0030154;GO:0048583;GO:0048584;GO:0031295;GO:0050864;GO:0031294;GO:0030098;GO:0030155;GO:0002822;GO:0051249;GO:0032502;GO:0050896;GO:0050863;GO:0042127;GO:0032946;GO:0050670;GO:0050671;GO:0002682;GO:0002376;GO:0042129;GO:0008150;GO:0050871;GO:0002521;GO:0048872;GO:0048518;GO:1903039;GO:0007166;GO:0002696;GO:0045785;GO:0001776;GO:0022409;GO:0030888;GO:0050778;GO:0051094;GO:0002821;GO:0050776;GO:0046649;GO:0022603;GO:0022407;GO:0001775;
